Date,RIFSPFF_N.D
7/28/15,0.14
7/29/15,0.14
7/30/15,0.14
7/31/15,0.08
8/1/15,0.08
8/2/15,0.08
8/3/15,0.14
8/4/15,0.14
8/5/15,0.14
8/6/15,0.14
8/7/15,0.14
8/8/15,0.14
8/9/15,0.14
8/10/15,0.14
8/11/15,0.15
8/12/15,0.15
8/13/15,0.15
8/14/15,0.14
8/15/15,0.14
8/16/15,0.14
8/17/15,0.15
8/18/15,0.15
8/19/15,0.15
8/20/15,0.15
8/21/15,0.15
8/22/15,0.15
8/23/15,0.15
8/24/15,0.15
8/25/15,0.15
8/26/15,0.14
8/27/15,0.14
8/28/15,0.14
8/29/15,0.14
8/30/15,0.14
8/31/15,0.08
9/1/15,0.14
9/2/15,0.14
9/3/15,0.14
9/4/15,0.14
9/5/15,0.14
9/6/15,0.14
9/7/15,0.14
9/8/15,0.14
9/9/15,0.14
9/10/15,0.14
9/11/15,0.14
9/12/15,0.14
9/13/15,0.14
9/14/15,0.14
9/15/15,0.14
9/16/15,0.14
9/17/15,0.14
9/18/15,0.14
9/19/15,0.14
9/20/15,0.14
9/21/15,0.14
9/22/15,0.14
9/23/15,0.14
9/24/15,0.14
9/25/15,0.13
9/26/15,0.13
9/27/15,0.13
9/28/15,0.13
9/29/15,0.13
9/30/15,0.07
10/1/15,0.13
10/2/15,0.13
10/3/15,0.13
10/4/15,0.13
10/5/15,0.13
10/6/15,0.13
10/7/15,0.13
10/8/15,0.13
10/9/15,0.13
10/10/15,0.13
10/11/15,0.13
10/12/15,0.13
10/13/15,0.13
10/14/15,0.13
10/15/15,0.13
10/16/15,0.13
10/17/15,0.13
10/18/15,0.13
10/19/15,0.13
10/20/15,0.13
10/21/15,0.13
10/22/15,0.12
10/23/15,0.12
10/24/15,0.12
10/25/15,0.12
10/26/15,0.12
10/27/15,0.12
10/28/15,0.12
10/29/15,0.12
10/30/15,0.07
10/31/15,0.07
11/1/15,0.07
11/2/15,0.12
11/3/15,0.12
11/4/15,0.12
11/5/15,0.12
11/6/15,0.12
11/7/15,0.12
11/8/15,0.12
11/9/15,0.12
11/10/15,0.12
11/11/15,0.12
11/12/15,0.12
11/13/15,0.12
11/14/15,0.12
11/15/15,0.12
11/16/15,0.13
11/17/15,0.13
11/18/15,0.12
11/19/15,0.12
11/20/15,0.12
11/21/15,0.12
11/22/15,0.12
11/23/15,0.12
11/24/15,0.12
11/25/15,0.12
11/26/15,0.12
11/27/15,0.12
11/28/15,0.12
11/29/15,0.12
11/30/15,0.08
12/1/15,0.13
12/2/15,0.13
12/3/15,0.13
12/4/15,0.13
12/5/15,0.13
12/6/15,0.13
12/7/15,0.13
12/8/15,0.13
12/9/15,0.14
12/10/15,0.14
12/11/15,0.14
12/12/15,0.14
12/13/15,0.14
12/14/15,0.15
12/15/15,0.15
12/16/15,0.15
12/17/15,0.37
12/18/15,0.37
12/19/15,0.37
12/20/15,0.37
12/21/15,0.36
12/22/15,0.36
12/23/15,0.36
12/24/15,0.36
12/25/15,0.36
12/26/15,0.36
12/27/15,0.36
12/28/15,0.36
12/29/15,0.36
12/30/15,0.35
12/31/15,0.2
1/1/16,0.2
1/2/16,0.2
1/3/16,0.2
1/4/16,0.36
1/5/16,0.36
1/6/16,0.36
1/7/16,0.36
1/8/16,0.36
1/9/16,0.36
1/10/16,0.36
1/11/16,0.36
1/12/16,0.36
1/13/16,0.36
1/14/16,0.36
1/15/16,0.36
1/16/16,0.36
1/17/16,0.36
1/18/16,0.36
1/19/16,0.36
1/20/16,0.37
1/21/16,0.37
1/22/16,0.38
1/23/16,0.38
1/24/16,0.38
1/25/16,0.38
1/26/16,0.38
1/27/16,0.38
1/28/16,0.38
1/29/16,0.29
1/30/16,0.29
1/31/16,0.29
2/1/16,0.38
2/2/16,0.38
2/3/16,0.38
2/4/16,0.38
2/5/16,0.38
2/6/16,0.38
2/7/16,0.38
2/8/16,0.38
2/9/16,0.38
2/10/16,0.38
2/11/16,0.38
2/12/16,0.38
2/13/16,0.38
2/14/16,0.38
2/15/16,0.38
2/16/16,0.38
2/17/16,0.37
2/18/16,0.38
2/19/16,0.38
2/20/16,0.38
2/21/16,0.38
2/22/16,0.38
2/23/16,0.38
2/24/16,0.38
2/25/16,0.37
2/26/16,0.37
2/27/16,0.37
2/28/16,0.37
2/29/16,0.29
3/1/16,0.36
3/2/16,0.37
3/3/16,0.37
3/4/16,0.36
3/5/16,0.36
3/6/16,0.36
3/7/16,0.36
3/8/16,0.36
3/9/16,0.36
3/10/16,0.36
3/11/16,0.36
3/12/16,0.36
3/13/16,0.36
3/14/16,0.36
3/15/16,0.37
3/16/16,0.37
3/17/16,0.37
3/18/16,0.37
3/19/16,0.37
3/20/16,0.37
3/21/16,0.37
3/22/16,0.37
3/23/16,0.37
3/24/16,0.37
3/25/16,0.37
3/26/16,0.37
3/27/16,0.37
3/28/16,0.37
3/29/16,0.37
3/30/16,0.37
3/31/16,0.25
4/1/16,0.37
4/2/16,0.37
4/3/16,0.37
4/4/16,0.37
4/5/16,0.37
4/6/16,0.37
4/7/16,0.37
4/8/16,0.37
4/9/16,0.37
4/10/16,0.37
4/11/16,0.37
4/12/16,0.37
4/13/16,0.37
4/14/16,0.37
4/15/16,0.37
4/16/16,0.37
4/17/16,0.37
4/18/16,0.37
4/19/16,0.37
4/20/16,0.37
4/21/16,0.37
4/22/16,0.37
4/23/16,0.37
4/24/16,0.37
4/25/16,0.37
4/26/16,0.37
4/27/16,0.37
4/28/16,0.37
4/29/16,0.3
4/30/16,0.3
5/1/16,0.3
5/2/16,0.37
5/3/16,0.37
5/4/16,0.37
5/5/16,0.37
5/6/16,0.37
5/7/16,0.37
5/8/16,0.37
5/9/16,0.37
5/10/16,0.37
5/11/16,0.37
5/12/16,0.37
5/13/16,0.37
5/14/16,0.37
5/15/16,0.37
5/16/16,0.37
5/17/16,0.37
5/18/16,0.37
5/19/16,0.37
5/20/16,0.37
5/21/16,0.37
5/22/16,0.37
5/23/16,0.37
5/24/16,0.37
5/25/16,0.37
5/26/16,0.37
5/27/16,0.37
5/28/16,0.37
5/29/16,0.37
5/30/16,0.37
5/31/16,0.29
6/1/16,0.37
6/2/16,0.37
6/3/16,0.37
6/4/16,0.37
6/5/16,0.37
6/6/16,0.37
6/7/16,0.37
6/8/16,0.37
6/9/16,0.37
6/10/16,0.37
6/11/16,0.37
6/12/16,0.37
6/13/16,0.37
6/14/16,0.37
6/15/16,0.37
6/16/16,0.38
6/17/16,0.38
6/18/16,0.38
6/19/16,0.38
6/20/16,0.38
6/21/16,0.38
6/22/16,0.38
6/23/16,0.39
6/24/16,0.4
6/25/16,0.4
6/26/16,0.4
6/27/16,0.41
6/28/16,0.41
6/29/16,0.41
6/30/16,0.3
7/1/16,0.41
7/2/16,0.41
7/3/16,0.41
7/4/16,0.41
7/5/16,0.4
7/6/16,0.4
7/7/16,0.4
7/8/16,0.4
7/9/16,0.4
7/10/16,0.4
7/11/16,0.4
7/12/16,0.4
7/13/16,0.4
7/14/16,0.4
7/15/16,0.4
7/16/16,0.4
7/17/16,0.4
7/18/16,0.4
7/19/16,0.4
7/20/16,0.4
7/21/16,0.4
7/22/16,0.4
7/23/16,0.4
7/24/16,0.4
7/25/16,0.4
7/26/16,0.4
7/27/16,0.4
7/28/16,0.4
7/29/16,0.3
7/30/16,0.3
7/31/16,0.3
8/1/16,0.4
8/2/16,0.4
8/3/16,0.4
8/4/16,0.4
8/5/16,0.4
8/6/16,0.4
8/7/16,0.4
8/8/16,0.4
8/9/16,0.4
8/10/16,0.4
8/11/16,0.4
8/12/16,0.4
8/13/16,0.4
8/14/16,0.4
8/15/16,0.4
8/16/16,0.4
8/17/16,0.4
8/18/16,0.4
8/19/16,0.4
8/20/16,0.4
8/21/16,0.4
8/22/16,0.4
8/23/16,0.4
8/24/16,0.4
8/25/16,0.4
8/26/16,0.4
8/27/16,0.4
8/28/16,0.4
8/29/16,0.4
8/30/16,0.4
8/31/16,0.3
9/1/16,0.4
9/2/16,0.4
9/3/16,0.4
9/4/16,0.4
9/5/16,0.4
9/6/16,0.4
9/7/16,0.4
9/8/16,0.4
9/9/16,0.4
9/10/16,0.4
9/11/16,0.4
9/12/16,0.4
9/13/16,0.4
9/14/16,0.4
9/15/16,0.4
9/16/16,0.4
9/17/16,0.4
9/18/16,0.4
9/19/16,0.4
9/20/16,0.4
9/21/16,0.4
9/22/16,0.4
9/23/16,0.4
9/24/16,0.4
9/25/16,0.4
9/26/16,0.4
9/27/16,0.4
9/28/16,0.4
9/29/16,0.4
9/30/16,0.29
10/1/16,0.29
10/2/16,0.29
10/3/16,0.4
10/4/16,0.4
10/5/16,0.4
10/6/16,0.4
10/7/16,0.4
10/8/16,0.4
10/9/16,0.4
10/10/16,0.4
10/11/16,0.41
10/12/16,0.41
10/13/16,0.41
10/14/16,0.41
10/15/16,0.41
10/16/16,0.41
10/17/16,0.41
10/18/16,0.41
10/19/16,0.41
10/20/16,0.41
10/21/16,0.41
10/22/16,0.41
10/23/16,0.41
10/24/16,0.41
10/25/16,0.41
10/26/16,0.41
10/27/16,0.41
10/28/16,0.41
10/29/16,0.41
10/30/16,0.41
10/31/16,0.31
11/1/16,0.41
11/2/16,0.41
11/3/16,0.41
11/4/16,0.41
11/5/16,0.41
11/6/16,0.41
11/7/16,0.41
11/8/16,0.41
11/9/16,0.41
11/10/16,0.41
11/11/16,0.41
11/12/16,0.41
11/13/16,0.41
11/14/16,0.41
11/15/16,0.41
11/16/16,0.41
11/17/16,0.41
11/18/16,0.41
11/19/16,0.41
11/20/16,0.41
11/21/16,0.41
11/22/16,0.41
11/23/16,0.41
11/24/16,0.41
11/25/16,0.41
11/26/16,0.41
11/27/16,0.41
11/28/16,0.41
11/29/16,0.41
11/30/16,0.31
12/1/16,0.41
12/2/16,0.41
12/3/16,0.41
12/4/16,0.41
12/5/16,0.41
12/6/16,0.41
12/7/16,0.41
12/8/16,0.41
12/9/16,0.41
12/10/16,0.41
12/11/16,0.41
12/12/16,0.41
12/13/16,0.41
12/14/16,0.41
12/15/16,0.66
12/16/16,0.66
12/17/16,0.66
12/18/16,0.66
12/19/16,0.66
12/20/16,0.66
12/21/16,0.66
12/22/16,0.66
12/23/16,0.66
12/24/16,0.66
12/25/16,0.66
12/26/16,0.66
12/27/16,0.66
12/28/16,0.66
12/29/16,0.66
12/30/16,0.55
12/31/16,0.55
1/1/17,0.55
1/2/17,0.55
1/3/17,0.66
1/4/17,0.66
1/5/17,0.66
1/6/17,0.66
1/7/17,0.66
1/8/17,0.66
1/9/17,0.66
1/10/17,0.66
1/11/17,0.66
1/12/17,0.66
1/13/17,0.66
1/14/17,0.66
1/15/17,0.66
1/16/17,0.66
1/17/17,0.66
1/18/17,0.66
1/19/17,0.66
1/20/17,0.66
1/21/17,0.66
1/22/17,0.66
1/23/17,0.66
1/24/17,0.66
1/25/17,0.66
1/26/17,0.66
1/27/17,0.66
1/28/17,0.66
1/29/17,0.66
1/30/17,0.66
1/31/17,0.56
2/1/17,0.66
2/2/17,0.66
2/3/17,0.66
2/4/17,0.66
2/5/17,0.66
2/6/17,0.66
2/7/17,0.66
2/8/17,0.66
2/9/17,0.66
2/10/17,0.66
2/11/17,0.66
2/12/17,0.66
2/13/17,0.66
2/14/17,0.66
2/15/17,0.66
2/16/17,0.66
2/17/17,0.66
2/18/17,0.66
2/19/17,0.66
2/20/17,0.66
2/21/17,0.66
2/22/17,0.66
2/23/17,0.66
2/24/17,0.66
2/25/17,0.66
2/26/17,0.66
2/27/17,0.66
2/28/17,0.57
3/1/17,0.66
3/2/17,0.66
3/3/17,0.66
3/4/17,0.66
3/5/17,0.66
3/6/17,0.66
3/7/17,0.66
3/8/17,0.66
3/9/17,0.66
3/10/17,0.66
3/11/17,0.66
3/12/17,0.66
3/13/17,0.66
3/14/17,0.66
3/15/17,0.66
3/16/17,0.91
3/17/17,0.91
3/18/17,0.91
3/19/17,0.91
3/20/17,0.91
3/21/17,0.91
3/22/17,0.91
3/23/17,0.91
3/24/17,0.91
3/25/17,0.91
3/26/17,0.91
3/27/17,0.91
3/28/17,0.91
3/29/17,0.91
3/30/17,0.91
3/31/17,0.82
4/1/17,0.82
4/2/17,0.82
4/3/17,0.91
4/4/17,0.91
4/5/17,0.91
4/6/17,0.91
4/7/17,0.91
4/8/17,0.91
4/9/17,0.91
4/10/17,0.91
4/11/17,0.91
4/12/17,0.91
4/13/17,0.91
4/14/17,0.91
4/15/17,0.91
4/16/17,0.91
4/17/17,0.91
4/18/17,0.91
4/19/17,0.91
4/20/17,0.91
4/21/17,0.91
4/22/17,0.91
4/23/17,0.91
4/24/17,0.91
4/25/17,0.91
4/26/17,0.91
4/27/17,0.91
4/28/17,0.83
4/29/17,0.83
4/30/17,0.83
5/1/17,0.91
5/2/17,0.91
5/3/17,0.91
5/4/17,0.91
5/5/17,0.91
5/6/17,0.91
5/7/17,0.91
5/8/17,0.91
5/9/17,0.91
5/10/17,0.91
5/11/17,0.91
5/12/17,0.91
5/13/17,0.91
5/14/17,0.91
5/15/17,0.91
5/16/17,0.91
5/17/17,0.91
5/18/17,0.91
5/19/17,0.91
5/20/17,0.91
5/21/17,0.91
5/22/17,0.91
5/23/17,0.91
5/24/17,0.91
5/25/17,0.91
5/26/17,0.91
5/27/17,0.91
5/28/17,0.91
5/29/17,0.91
5/30/17,0.91
5/31/17,0.83
6/1/17,0.91
6/2/17,0.91
6/3/17,0.91
6/4/17,0.91
6/5/17,0.91
6/6/17,0.91
6/7/17,0.91
6/8/17,0.91
6/9/17,0.91
6/10/17,0.91
6/11/17,0.91
6/12/17,0.91
6/13/17,0.91
6/14/17,0.91
6/15/17,1.16
6/16/17,1.16
6/17/17,1.16
6/18/17,1.16
6/19/17,1.16
6/20/17,1.16
6/21/17,1.16
6/22/17,1.16
6/23/17,1.16
6/24/17,1.16
6/25/17,1.16
6/26/17,1.16
6/27/17,1.16
6/28/17,1.16
6/29/17,1.16
6/30/17,1.06
7/1/17,1.06
7/2/17,1.06
7/3/17,1.16
7/4/17,1.16
7/5/17,1.16
7/6/17,1.16
7/7/17,1.16
7/8/17,1.16
7/9/17,1.16
7/10/17,1.16
7/11/17,1.16
7/12/17,1.16
7/13/17,1.16
7/14/17,1.16
7/15/17,1.16
7/16/17,1.16
7/17/17,1.16
7/18/17,1.16
7/19/17,1.16
7/20/17,1.16
7/21/17,1.16
7/22/17,1.16
7/23/17,1.16
7/24/17,1.16
7/25/17,1.16
7/26/17,1.16
7/27/17,1.16
7/28/17,1.16
7/29/17,1.16
7/30/17,1.16
7/31/17,1.07
8/1/17,1.16
8/2/17,1.16
8/3/17,1.16
8/4/17,1.16
8/5/17,1.16
8/6/17,1.16
8/7/17,1.16
8/8/17,1.16
8/9/17,1.16
8/10/17,1.16
8/11/17,1.16
8/12/17,1.16
8/13/17,1.16
8/14/17,1.16
8/15/17,1.16
8/16/17,1.16
8/17/17,1.16
8/18/17,1.16
8/19/17,1.16
8/20/17,1.16
8/21/17,1.16
8/22/17,1.16
8/23/17,1.16
8/24/17,1.16
8/25/17,1.16
8/26/17,1.16
8/27/17,1.16
8/28/17,1.16
8/29/17,1.16
8/30/17,1.16
8/31/17,1.07
9/1/17,1.16
9/2/17,1.16
9/3/17,1.16
9/4/17,1.16
9/5/17,1.16
9/6/17,1.16
9/7/17,1.16
9/8/17,1.16
9/9/17,1.16
9/10/17,1.16
9/11/17,1.16
9/12/17,1.16
9/13/17,1.16
9/14/17,1.16
9/15/17,1.16
9/16/17,1.16
9/17/17,1.16
9/18/17,1.16
9/19/17,1.16
9/20/17,1.16
9/21/17,1.16
9/22/17,1.16
9/23/17,1.16
9/24/17,1.16
9/25/17,1.16
9/26/17,1.16
9/27/17,1.16
9/28/17,1.16
9/29/17,1.06
9/30/17,1.06
10/1/17,1.06
10/2/17,1.16
10/3/17,1.16
10/4/17,1.16
10/5/17,1.16
10/6/17,1.16
10/7/17,1.16
10/8/17,1.16
10/9/17,1.16
10/10/17,1.16
10/11/17,1.16
10/12/17,1.16
10/13/17,1.16
10/14/17,1.16
10/15/17,1.16
10/16/17,1.16
10/17/17,1.16
10/18/17,1.16
10/19/17,1.16
10/20/17,1.16
10/21/17,1.16
10/22/17,1.16
10/23/17,1.16
10/24/17,1.16
10/25/17,1.16
10/26/17,1.16
10/27/17,1.16
10/28/17,1.16
10/29/17,1.16
10/30/17,1.16
10/31/17,1.07
11/1/17,1.16
11/2/17,1.16
11/3/17,1.16
11/4/17,1.16
11/5/17,1.16
11/6/17,1.16
11/7/17,1.16
11/8/17,1.16
11/9/17,1.16
11/10/17,1.16
11/11/17,1.16
11/12/17,1.16
11/13/17,1.16
11/14/17,1.16
11/15/17,1.16
11/16/17,1.16
11/17/17,1.16
11/18/17,1.16
11/19/17,1.16
11/20/17,1.16
11/21/17,1.16
11/22/17,1.16
11/23/17,1.16
11/24/17,1.16
11/25/17,1.16
11/26/17,1.16
11/27/17,1.16
11/28/17,1.16
11/29/17,1.16
11/30/17,1.07
12/1/17,1.16
